V eq. KEAS,Mach (Ve/Cse),q dynamic pressure (lb/ft^2),Clmax_m/Clmax_0,Cl max_m,Cl max_m (-),positive load factor n+,negative load factor n-,Cl alpha_m/cl alpha 0,Cl alpha_m,Âµ,Kg,positive gust load factor V_B,negative gust load factor V_B,positive gust load factor V_C,negative gust load factor V_C,Positive load factor n+ with flaps
0.0,0.0,0.0,1,2,1.2,0.0,-0.0,1,6.941,1.5626205144031464,0.20037623380000696,1.0,1.0,1.0,1.0,0.0
15.5,0.02825373678454247,0.8116554054054054,1,2,1.2,0.06661032002586234,-0.039966192015517404,1,6.941,1.5626205144031464,0.20037623380000696,1.031177797669415,0.9688222023305849,1.0155888988347075,0.9844111011652925,0.07660186802974168
31.0,0.05650747356908494,3.2466216216216215,1,2,1.2,0.26644128010344936,-0.15986476806206962,1,6.941,1.5626205144031464,0.20037623380000696,1.0623555953388302,0.9376444046611699,1.031177797669415,0.9688222023305849,0.30640747211896674
46.5,0.08476121035362741,7.304898648648648,1,2,1.2,0.599492880232761,-0.35969572813965667,1,6.941,1.5626205144031464,0.20037623380000696,1.0935333930082451,0.9064666069917549,1.0467666965041227,0.9532333034958774,0.6894168122676751
59.905032561428726,0.10919619497161634,12.123692318195392,1,2,1.2,0.9949579831932772,-0.5969747899159663,1,6.941,1.5626205144031464,0.20037623380000696,1.1204972248116094,0.8795027751883906,1.0602486124058046,0.9397513875941953,1.1442016806722688
62.0,0.11301494713816988,12.986486486486486,1,2,1.2,1.0657651204137975,-0.6394590722482785,1,6.941,1.5626205144031464,0.20037623380000696,1.1247111906776601,0.8752888093223398,1.0623555953388302,0.9376444046611699,1.225629888475867
77.5,0.14126868392271236,20.291385135135137,1,2,1.2,1.6652580006465587,-0.9991548003879352,1,6.941,1.5626205144031464,0.20037623380000696,1.1558889883470753,0.8441110116529247,1.0779444941735377,0.9220555058264623,1.9150467007435423
79.37822276353836,0.14469234918618,21.286831922628107,1,2,1.2,1.7469515723791393,-1.0481709434274837,1,6.941,1.5626205144031464,0.20037623380000696,1.1596669786244747,0.8403330213755255,1.0798334893122372,0.9201665106877627,2.0
93.0,0.16952242070725482,29.219594594594593,1,2,1.2,2.397971520931044,-1.4387829125586267,1,6.941,1.5626205144031464,0.20037623380000696,1.1870667860164903,0.8129332139835097,1.0935333930082451,0.9064666069917549,2.7576672490707006
108.5,0.1977761574917973,39.77111486486486,1,2,1.2,3.263905681267255,-1.9583434087603528,1,6.941,1.5626205144031464,0.20037623380000696,1.2182445836859053,0.7817554163140946,1.1091222918429526,0.8908777081570474,3.7534915334573427
124.0,0.22602989427633977,51.945945945945944,1,2,1.2,4.26306048165519,-2.557836288993114,1,6.941,1.5626205144031464,0.20037623380000696,1.2494223813553205,0.7505776186446795,1.1247111906776601,0.8752888093223398,4.902519553903468
139.5,0.25428363106088225,65.74408783783784,1,2,1.2,5.39543592209485,-3.23726155325691,1,6.941,1.5626205144031464,0.20037623380000696,1.2806001790247354,0.7193998209752646,1.1403000895123678,0.8596999104876323,6.204751310409077
146.73676280031194,0.26747495953392625,72.74215390917233,1,2,1.2,6.0,-3.5818487394957974,1,6.941,1.5626205144031464,0.20037623380000696,1.2951567162098758,0.7048432837901242,1.147578358104938,0.8524216418950621,6.865210084033611
155.0,0.2825373678454247,81.16554054054055,1,2,1.2,6.661032002586235,-3.996619201551741,1,6.941,1.5626205144031464,0.20037623380000696,1.3117779766941506,0.6882220233058495,1.1558889883470753,0.8441110116529247,7.660186802974169
170.5,0.3107911046299672,98.21030405405405,1,2,1.2,8.059848723129344,-4.835909233877606,1,6.941,1.5626205144031464,0.20037623380000696,1.3429557743635656,0.6570442256364344,1.1714778871817828,0.8285221128182172,9.268826031598744
186.0,0.33904484141450963,116.87837837837837,1,2,1.2,9.591886083724177,-5.755131650234507,1,6.941,1.5626205144031464,0.20037623380000696,1.3741335720329806,0.6258664279670193,1.1870667860164903,0.8129332139835097,11.030668996282802
201.5,0.3672985781990521,137.16976351351352,1,2,1.2,11.257144084370736,-6.754286450622442,1,6.941,1.5626205144031464,0.20037623380000696,1.4053113697023958,0.5946886302976042,1.2026556848511978,0.7973443151488021,12.945715697026346
217.0,0.3955523149835946,159.08445945945945,1,2,1.2,13.05562272506902,-7.833373635041411,1,6.941,1.5626205144031464,0.20037623380000696,1.4364891673718108,0.5635108326281892,1.2182445836859053,0.7817554163140946,15.01396613382937
232.5,0.42380605176813707,182.62246621621622,1,2,1.2,14.987322005819028,-8.992393203491416,1,6.941,1.5626205144031464,0.20037623380000696,1.467666965041226,0.5323330349587742,1.233833482520613,0.766166517479387,17.235420306691882
248.0,0.45205978855267953,207.78378378378378,1,2,1.2,17.05224192662076,-10.231345155972456,1,6.941,1.5626205144031464,0.20037623380000696,1.498844762710641,0.5011552372893591,1.2494223813553205,0.7505776186446795,19.61007821561387
263.5,0.480313525337222,234.56841216216216,1,2,1.2,19.25038248747422,-11.55022949248453,1,6.941,1.5626205144031464,0.20037623380000696,1.530022560380056,0.4699774396199441,1.265011280190028,0.734988719809972,22.13793986059535
279.0,0.5085672621217645,262.97635135135135,1,2,1.2,21.5817436883794,-12.94904621302764,1,6.941,1.5626205144031464,0.20037623380000696,1.5612003580494709,0.438799641950529,1.2806001790247354,0.7193998209752646,24.819005241636308
294.5,0.536820998906307,293.00760135135135,1,2,1.2,24.046325529336308,-14.427795317601785,1,6.941,1.5626205144031464,0.20037623380000696,1.592378155718886,0.4076218442811139,1.296189077859443,0.703810922140557,27.653274358736752
310.0,0.5650747356908494,324.6621621621622,1,2,1.2,26.64412801034494,-15.986476806206964,1,6.941,1.5626205144031464,0.20037623380000696,1.623555953388301,0.37644404661169895,1.3117779766941506,0.6882220233058495,30.640747211896677
